s,x_0,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag
0.0,-0.0054935217,-0.014501333,7.982918e-05,0.01462985,0.21191575,1.0,0.01459187,,1
0.010016695,-0.010609984,-0.0073230863,7.889222e-05,0.014139421,0.21039934,0.99999976,0.0076608015,,1
0.02003339,-0.01574266,-0.00013136864,5.9696163e-06,0.013661464,0.20884927,0.9999998,0.00087486266,,1
0.030050084,-0.020891547,0.00707376,0.00013866353,0.013195298,0.20726563,0.9999999,0.00576439,,1
0.04006678,-0.026057124,0.014293492,0.00035475518,0.012741072,0.20564932,0.99999976,0.01225657,,1
0.050083473,-0.031237602,0.0215244,0.00064188935,0.012298489,0.20400092,0.99999976,0.018597037,,0
0.060100168,-0.03643477,0.028769314,0.0009998365,0.011867665,0.20232077,0.9999997,0.024786837,,0
0.07011686,-0.04164791,0.036025375,0.0014281413,0.011448119,0.20060997,0.9999998,0.03082173,,0
0.08013356,-0.04687667,0.043295234,0.0019265285,0.011040167,0.19886865,0.99999976,0.03670297,,0
0.09015025,-0.052120805,0.050576568,0.002494501,0.010643159,0.19709802,0.99999976,0.042426832,,0
0.10016695,-0.057380557,0.05787182,0.00313179,0.010257211,0.19529842,0.9999999,0.047994234,,0
0.11018364,-0.06265581,0.0651772,0.0038377591,0.009882265,0.19347063,0.9999999,0.05339995,,0
0.120200336,-0.06794667,0.07249498,0.0046121003,0.0095179165,0.19161505,0.9999999,0.058644734,,0
0.13021703,-0.07325256,0.07982531,0.00545434,0.009164474,0.18973243,0.9999998,0.0637275,,0
0.14023373,-0.078573346,0.08716673,0.006363888,0.00882111,0.18782362,0.99999976,0.06864542,,0
0.15025042,-0.08390975,0.09451923,0.0073402887,0.008488069,0.18588935,0.99999976,0.07339669,,0
0.16026711,-0.08926058,0.101882994,0.008382956,0.008165024,0.18393023,0.9999999,0.07798064,,0
0.17028381,-0.09462607,0.109258115,0.009491376,0.007851931,0.18194689,0.9999999,0.08239584,,0
0.1803005,-0.10000658,0.11664444,0.010665014,0.007548543,0.17994004,0.9999998,0.08664049,,0
