s,x_0,x_1,p_0,res,arc_err,curv,tangent_cos,sigma_min,tau,bif_flag,stable
0.0,0.042832755,-0.0010925047,0.050109535,0.0011360958,0.0014319746,0.19937812,1.0,0.035555974,,0,1
0.015025042,0.042271517,-0.0010997616,0.034547508,0.0011472059,0.0012242218,0.19438875,0.99999976,0.049995527,,0,1
0.030050084,0.041702643,-0.0011003055,0.019028217,0.001450793,0.0010369001,0.18915868,0.9999998,0.06437707,,0,1
0.045075126,0.041126825,-0.0010945015,0.0035504699,0.001893722,0.00086930825,0.18369626,0.9999999,0.07870318,,0,1
0.060100168,0.040544614,-0.0010827966,-0.011886597,0.0023856838,0.0007204289,0.17801121,0.99999976,0.092975825,,0,1
0.07512521,0.03995677,-0.0010654703,-0.027284294,0.0028902902,0.000589244,0.17211437,0.9999998,0.107197836,,0,1
0.09015025,0.039363913,-0.0010429733,-0.042643875,0.003392452,0.0004748157,0.1660186,0.9999998,0.1213717,,0,1
0.105175294,0.0387666,-0.0010157041,-0.05796656,0.0038851346,0.0003759762,0.1597374,0.9999999,0.13549976,,0,1
0.120200336,0.038165577,-0.0009839945,-0.073253736,0.0043647448,0.00029165138,0.15328564,0.9999999,0.14958489,,0,1
0.13522539,0.037561417,-0.0009483546,-0.08850637,0.004829316,0.00022068954,0.14667992,1.0,0.1636292,,0,1
0.15025042,0.036954798,-0.0009090733,-0.10372637,0.0052777263,0.0001620044,0.13993806,0.99999994,0.17763597,,0,1
0.16527545,0.036346234,-0.0008665435,-0.11891502,0.005709306,0.00011440811,0.13307922,0.9999998,0.19160749,,0,1
0.1803005,0.03573639,-0.0008211918,-0.13407385,0.006123716,7.678521e-05,0.12612432,0.99999994,0.20554663,,0,1
0.19532555,0.035125926,-0.0007733386,-0.1492042,0.006520786,4.8019854e-05,0.11909562,0.99999994,0.21945605,,0,1
0.21035059,0.034515284,-0.0007233452,-0.1643078,0.006900453,2.7040296e-05,0.11201716,1.0,0.23333837,,0,1
0.22537562,0.033905067,-0.0006716233,-0.17938629,0.007262778,1.27718695e-05,0.10491574,1.0,0.24719642,,0,1
0.24040067,0.033295907,-0.0006184578,-0.19444105,0.007607888,4.2153906e-06,0.097818576,0.99999994,0.26103288,,0,1
0.25542572,0.03268829,-0.0005641822,-0.20947394,0.00793595,4.0933924e-07,0.09075796,0.9999999,0.27485052,,0,1
0.27045077,0.032082707,-0.0005091466,-0.2244862,0.008247157,4.4326816e-07,0.0837686,1.0,0.28865162,,0,1
0.2854758,0.031479627,-0.00045367703,-0.23947975,0.008541756,3.4778898e-06,0.07688955,1.0,0.302439,,0,1
0.30050084,0.030879693,-0.00039808638,-0.25445634,0.008820077,8.736016e-06,0.07016767,1.0,0.31621572,,0,1
0.3155259,0.030283092,-0.00034260377,-0.26941764,0.009082329,1.5512222e-05,0.063658014,0.99999994,0.32998383,,0,1
0.3305509,0.029690528,-0.00028749928,-0.28436506,0.009328907,2.317889e-05,0.057427254,0.99999994,0.34374613,,0,1
0.34557596,0.029102257,-0.00023319013,-0.29930016,0.009560096,3.1185733e-05,0.051560372,0.99999994,0.35750467,,0,1
0.360601,0.028518757,-0.00017964654,-0.31422436,0.009776259,3.9042683e-05,0.046164744,1.0,0.37126186,,0,1
0.37562606,0.027940297,-0.00012741983,-0.32914037,0.009977753,4.6379475e-05,0.041377787,1.0,0.38502097,,0,1
0.3906511,0.027367366,-7.6392666e-05,-0.34404814,0.010164951,5.283006e-05,0.037367303,0.9999999,0.39878288,,0,1
0.40567613,0.026800325,-2.701953e-05,-0.3589503,0.010338278,5.817674e-05,0.03432131,0.99999994,0.41255093,,0,1
0.42070118,0.026239244,2.05338e-05,-0.373848,0.010498006,6.223119e-05,0.032410033,0.99999994,0.42632648,,0,1
0.43572623,0.025684642,6.6280365e-05,-0.38874283,0.010644628,6.487297e-05,0.03172389,0.9999999,0.4401121,,0,1
0.45075125,0.025136745,0.0001098495,-0.4036361,0.010778513,6.6069995e-05,0.032218497,0.9999999,0.45390958,,0,1
0.4657763,0.024595736,0.0001511313,-0.4185289,0.010900024,6.580766e-05,0.03371964,0.9999998,0.4677204,,0,1
0.48080134,0.024061834,0.0001901947,-0.4334232,0.011009571,6.4177766e-05,0.035982136,0.9999999,0.48154685,,0,1
0.4958264,0.023535358,0.0002267845,-0.4483198,0.011107596,6.126634e-05,0.03876025,0.9999998,0.4953905,,0,1
0.51085144,0.023016313,0.00026081875,-0.46322015,0.011194409,5.7211517e-05,0.041845948,0.99999976,0.5092528,,0,1
0.52587646,0.022505073,0.00029209256,-0.47812513,0.011270505,5.2225274e-05,0.045078713,0.9999998,0.52313524,,0,1
0.54090154,0.022001507,0.0003207121,-0.49303612,0.011336141,4.6477762e-05,0.048340596,0.9999998,0.53703916,,0,1
0.55592656,0.021506032,0.00034656376,-0.50795406,0.0113918595,4.0219373e-05,0.05154478,0.99999976,0.55096614,,0,1
0.5709516,0.02101866,0.0003697481,-0.5228796,0.011437991,3.367745e-05,0.054628707,0.99999976,0.5649169,,0,1
0.58597666,0.02053942,0.00038994104,-0.537814,0.011474883,2.7120941e-05,0.05754777,0.9999999,0.5788929,,0,1
0.6010017,0.020068357,0.00040742755,-0.5527584,0.0115029095,2.0776151e-05,0.060267467,0.9999999,0.5928951,,0,1
0.6160267,0.019605478,0.0004218947,-0.5677128,0.011522382,1.4886694e-05,0.062763415,0.9999998,0.60692376,,0,1
0.6310518,0.019151228,0.0004335884,-0.58267844,0.01153393,9.701358e-06,0.06501835,0.99999976,0.6209809,,0,1
0.6460768,0.018705038,0.00044258125,-0.59765565,0.011537542,5.4330912e-06,0.06701945,0.9999998,0.63506573,,0,1
0.6611018,0.018267369,0.00044868328,-0.6126454,0.011533846,2.2846752e-06,0.06875804,0.9999999,0.6491801,,0,1
0.6761269,0.017837843,0.00045196153,-0.6276484,0.011522949,4.3765098e-07,0.070228696,0.9999999,0.6633241,,0,1
0.6911519,0.017416868,0.0004526656,-0.6426637,0.011505445,4.6248033e-08,0.07142898,0.9999999,0.67749745,,0,1
0.706177,0.017003976,0.00045078248,-0.65769315,0.011481388,1.2396924e-06,0.07235803,0.9999998,0.6917011,,0,1
0.721202,0.016599422,0.00044619106,-0.6727363,0.01145127,4.1161225e-06,0.07301803,0.9999998,0.7059351,,0,1
0.73622704,0.01620295,0.00043920986,-0.68779373,0.011415276,8.745884e-06,0.07341068,0.9999998,0.72019964,,0,1
0.7512521,0.015814815,0.00042965077,-0.7028653,0.011373911,1.51685845e-05,0.07354183,0.9999998,0.7344949,,0,1
0.76627713,0.015434485,0.00041798502,-0.71795094,0.01132714,2.3393459e-05,0.07341747,0.9999998,0.7488199,,0,1
0.7813022,0.015062241,0.00040381774,-0.7330513,0.0112755,3.3395787e-05,0.0730432,0.9999999,0.7631758,,0,1
0.79632723,0.014697744,0.00038762018,-0.7481661,0.011219075,4.512565e-05,0.072427236,0.9999998,0.77756155,,0,1
0.81135225,0.014341252,0.0003694147,-0.7632946,0.011158388,5.850818e-05,0.07157944,0.99999976,0.7919771,,0,1
0.82637733,0.013992215,0.00034927018,-0.7784375,0.0110933455,7.343597e-05,0.07050843,0.99999994,0.80642194,,0,1
0.84140235,0.013650836,0.00032731146,-0.79359436,0.011024432,8.977097e-05,0.069225214,0.99999994,0.820896,,0,1
